mapping_address,address,latitude,longitude,region_code,state,country
Melbourne Kurunjang,"Kurunjang VIC 3337, Australia",-37.6661536,144.5953137,0,VIC,Australia
Adelaide Aldinga Beach,"Aldinga Beach SA 5173, Australia",-35.2787613,138.4529196,0,SA,Australia
Melbourne Laburnum,"Melbourne VIC, Australia",-37.8136276,144.9630576,0,VIC,Australia
Canterbury Timaru & South Canterbury,"Timaru, New Zealand",-44.3903881,171.2372756,1,,New Zealand
Gosford & Central Coast Tumbi Umbi,"Gosford NSW 2250, Australia",-33.426667,151.341667,0,NSW,Australia
Western QLD Bedourie,"Bedourie QLD 4829, Australia",-24.5351302,139.5678767,0,QLD,Australia
Melbourne South Yarra,"South Yarra VIC 3141, Australia",-37.8395181,144.9955966,0,VIC,Australia
Sydney Wiley Park,"Wiley Park NSW 2195, Australia",-33.9229004,151.0683695,0,NSW,Australia
"Newcastle, Maitland & Hunter Shortland","Maitland NSW 2320, Australia",-32.7315527,151.5525086,0,NSW,Australia
Melbourne Canterbury,"Canterbury VIC 3126, Australia",-37.824234,145.0828276,0,VIC,Australia
Bay of Plenty Te Kaha,"Te Kaha 3199, New Zealand",-37.7442971,177.6828419,1,,New Zealand
Toowoomba & Darling Downs Jandowae,"Jandowae QLD 4410, Australia",-26.7813566,151.1099741,0,QLD,Australia
Auckland Panmure,"Panmure, Auckland, New Zealand",-36.9011809,174.8570732,1,,New Zealand
Auckland Mangere Bridge,"Māngere Bridge, Auckland 2022, New Zealand",-36.9526964,174.7917519,1,,New Zealand
Brisbane Tingalpa,"Tingalpa QLD, Australia",-27.474896,153.129403,0,QLD,Australia
Sydney Pendle Hill,"Pendle Hill NSW 2145, Australia",-33.8018889,150.9556279,0,NSW,Australia
Gold Coast Bonogin,"Bonogin QLD 4213, Australia",-28.1296914,153.3470204,0,QLD,Australia
Adelaide Cheltenham,"Cheltenham SA 5014, Australia",-34.8683434,138.5230282,0,SA,Australia
